10000|||1|1
1286978150|||1|1
1288401612|||1|1
1289560915|||1|1
1294562672|||1|1
1297156823|||1|1
1299036650|||1|1
1304925250|||1|2
1289057541|||1|1
1308136910|||1|1
1308842530|||1|2
1310368554|||1|1
1311358537|||1|1
1312626514|||1|1
1313659365|||1|1
1314242069|||1|1
1314851761|||1|1
1315520354|||1|1
1315954167|||1|3
1319505451|||1|1
1321265619|||1|1
1324412719|||1|3
1326446905|||1|1
1329873486|||1|1
1328191391|||1|1
1329356143|||1|1
1331357103|||1|1
1332282754|||1|1
1329356027|||1|1
1334017372|||1|3
1329356044|||1|1
1329356151|||1|1
1336390784|||1|1
1338152436|||1|1
1341421459|||1|1
1351638224|||1|1
1356026803|||1|1
1364820847|||1|1
1382110828|||1|2
1409995690|||1|3
1410581457|||1|1
1411174754|||1|1
1418431049|||0|2
1425714404|||1|1
1273711110|||1|1
1435572751|||1|2
1436150022|||0|1
1435440858|||1|1
1436569490|||1|1
1441081957|||1|2
1438819170|||1|3
1440248866|||1|1
1440461256|||1|1
